ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416449359.69098,template1,0,0,0,0,0,0,0,0,0,0
1416449359.69098,template0,0,0,0,0,0,0,0,0,0,0
1416449359.69098,postgres,0,372,5,3642,26643,171119,12348,0,0,0
1416449359.69098,dbt3,4,18048,0,788748945,5553221090,54462924050,27084797529,526002579,3187,5407831
1416449419.71199,template1,0,0,0,0,0,0,0,0,0,0
1416449419.71199,template0,0,0,0,0,0,0,0,0,0,0
1416449419.71199,postgres,0,374,5,3670,26673,172045,12359,0,0,0
1416449419.71199,dbt3,21,19105,0,795639952,5618386228,55035022699,27471046612,526093228,3261,5483189
1416449479.73855,template1,0,0,0,0,0,0,0,0,0,0
1416449479.73855,template0,0,0,0,0,0,0,0,0,0,0
1416449479.73855,postgres,0,376,5,3698,26703,172971,12370,0,0,0
1416449479.73855,dbt3,20,19322,0,805876643,5681083791,55853847716,28083416867,526257789,3300,5557965
1416449539.78262,template1,0,0,0,0,0,0,0,0,0,0
1416449539.78262,template0,0,0,0,0,0,0,0,0,0,0
1416449539.78262,postgres,0,378,5,3726,26733,173897,12381,0,0,0
1416449539.78262,dbt3,23,19538,0,821495423,5826290311,56733224305,28864643515,526348312,3338,5632537
1416449599.78029,template1,0,0,0,0,0,0,0,0,0,0
1416449599.78029,template0,0,0,0,0,0,0,0,0,0,0
1416449599.78029,postgres,0,380,5,3754,26763,174823,12392,0,0,0
1416449599.78029,dbt3,24,19758,0,832442836,5871600290,57720012893,29250543529,526437900,3412,5707487
1416449659.81806,template1,0,0,0,0,0,0,0,0,0,0
1416449659.81806,template0,0,0,0,0,0,0,0,0,0,0
1416449659.81806,postgres,0,382,5,3782,26793,175749,12403,0,0,0
1416449659.81806,dbt3,22,19981,0,848346257,5973654069,58970243719,29630441077,526542598,3447,5858067
1416449719.80043,template1,0,0,0,0,0,0,0,0,0,0
1416449719.80043,template0,0,0,0,0,0,0,0,0,0,0
1416449719.80043,postgres,0,384,5,3810,26823,176675,12414,0,0,0
1416449719.80043,dbt3,20,20174,0,859570217,6041871898,59686487530,30184611217,526706996,3482,5933262
1416449779.86719,template1,0,0,0,0,0,0,0,0,0,0
1416449779.86719,template0,0,0,0,0,0,0,0,0,0,0
1416449779.86719,postgres,0,386,5,3838,26853,177601,12425,0,0,0
1416449779.86719,dbt3,21,20388,0,874995119,6236439970,60479011655,30749504649,526797351,3525,6008492
1416449839.89004,template1,0,0,0,0,0,0,0,0,0,0
1416449839.89004,template0,0,0,0,0,0,0,0,0,0,0
1416449839.89004,postgres,0,388,5,3866,26883,178527,12436,0,0,0
1416449839.89004,dbt3,23,20621,0,889756316,6360340798,61589938263,31185847097,526902918,3584,6158374
1416449899.90682,template1,0,0,0,0,0,0,0,0,0,0
1416449899.90682,template0,0,0,0,0,0,0,0,0,0,0
1416449899.90682,postgres,0,390,5,3894,26913,179453,12447,0,0,0
1416449899.90682,dbt3,23,20849,0,901124729,6459108220,62423657358,31733689510,527068618,3651,6233568
1416449959.927,template1,0,0,0,0,0,0,0,0,0,0
1416449959.927,template0,0,0,0,0,0,0,0,0,0,0
1416449959.927,postgres,0,392,5,3922,26943,180379,12458,0,0,0
1416449959.927,dbt3,24,21077,0,915002551,6535437605,63328504683,32254262159,527158185,3690,6308362
1416450019.94207,template1,0,0,0,0,0,0,0,0,0,0
1416450019.94207,template0,0,0,0,0,0,0,0,0,0,0
1416450019.94207,postgres,0,394,5,3950,26973,181305,12469,0,0,0
1416450019.94207,dbt3,23,21219,0,926564053,6672020590,64106757143,32439739757,527248045,3711,6383439
1416450079.96303,template1,0,0,0,0,0,0,0,0,0,0
1416450079.96303,template0,0,0,0,0,0,0,0,0,0,0
1416450079.96303,postgres,0,396,5,3978,27003,182231,12480,0,0,0
1416450079.96303,dbt3,24,21504,0,939722106,6776550375,65180879610,32912731618,527353004,3759,6533229
1416450139.93009,template1,0,0,0,0,0,0,0,0,0,0
1416450139.93009,template0,0,0,0,0,0,0,0,0,0,0
1416450139.93009,postgres,0,398,5,4006,27033,183157,12491,0,0,0
1416450139.93009,dbt3,14,21729,0,954830813,6885666915,66493360361,33360482209,527518467,3808,6608157
1416450199.93188,template1,0,0,0,0,0,0,0,0,0,0
1416450199.93188,template0,0,0,0,0,0,0,0,0,0,0
1416450199.93188,postgres,0,400,5,4034,27063,184083,12502,0,0,0
1416450199.93188,dbt3,8,21828,0,962358772,6929509255,67025497338,33707392095,527608728,3833,6683124
